id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,C1,C2
39,2020-02-11 15:18:44,2,en,2107341589,2020-02-11 15:17:36,2020-02-11 15:18:44,do not know,do not know
40,2020-02-11 15:18:38,2,en,786516496,2020-02-11 15:17:40,2020-02-11 15:18:38,do not know,do not know
41,,1,en,656385170,2020-02-11 15:17:40,2020-02-11 15:18:54,do not know,
42,2020-02-11 15:18:44,2,en,734217962,2020-02-11 15:17:44,2020-02-11 15:18:44,do not know,do not know
43,2020-02-11 15:18:33,2,en,408148394,2020-02-11 15:17:45,2020-02-11 15:18:33,do not know,y will increase
44,2020-02-11 15:18:41,2,en,394507481,2020-02-11 15:17:46,2020-02-11 15:18:41,y will decrease,y will decrease
45,2020-02-11 15:19:48,2,en,1946252460,2020-02-11 15:17:46,2020-02-11 15:19:48,do not know,do not know
46,2020-02-11 15:18:36,2,en,1177004584,2020-02-11 15:17:49,2020-02-11 15:18:36,do not know,do not know
47,,1,en,575192547,2020-02-11 15:17:49,2020-02-11 15:19:09,do not know,
48,2020-02-11 15:18:55,2,en,1456100121,2020-02-11 15:17:49,2020-02-11 15:18:55,y will decrease,do not know
49,2020-02-11 15:19:11,2,en,1262322184,2020-02-11 15:17:50,2020-02-11 15:19:11,y will increase,y will increase
50,2020-02-11 15:19:57,2,en,1580490261,2020-02-11 15:17:50,2020-02-11 15:19:57,do not know,do not know
51,2020-02-11 15:19:08,2,en,102125996,2020-02-11 15:17:53,2020-02-11 15:19:08,y will increase,y will increase
52,2020-02-11 15:18:48,2,en,937097952,2020-02-11 15:17:53,2020-02-11 15:18:47,y will decrease,y will increase
53,2020-02-11 15:18:50,2,en,497409096,2020-02-11 15:17:54,2020-02-11 15:18:50,do not know,do not know
54,2020-02-11 15:19:06,2,en,849137773,2020-02-11 15:17:54,2020-02-11 15:19:06,y will increase,y will increase
55,2020-02-11 15:19:19,2,en,811562702,2020-02-11 15:17:54,2020-02-11 15:19:19,do not know,do not know
56,2020-02-11 15:19:04,2,en,1225337844,2020-02-11 15:17:58,2020-02-11 15:19:04,y will decrease,do not know
57,2020-02-11 15:18:57,2,en,1752432423,2020-02-11 15:17:58,2020-02-11 15:18:57,y will decrease,y will increase
58,2020-02-11 15:18:31,2,en,1080402721,2020-02-11 15:17:59,2020-02-11 15:18:31,do not know,do not know
59,2020-02-11 15:19:26,2,en,633833775,2020-02-11 15:18:00,2020-02-11 15:19:26,y will increase,y will increase
60,2020-02-11 15:18:58,2,en,1176799490,2020-02-11 15:18:01,2020-02-11 15:18:58,y will increase,y will increase
61,2020-02-11 15:19:06,2,en,1078073822,2020-02-11 15:18:03,2020-02-11 15:19:06,do not know,y will decrease
62,2020-02-11 15:19:30,2,en,1663180620,2020-02-11 15:18:06,2020-02-11 15:19:30,y will decrease,do not know
63,2020-02-11 15:18:53,2,en,78059473,2020-02-11 15:18:07,2020-02-11 15:18:52,do not know,do not know
64,2020-02-11 15:19:17,2,en,884590736,2020-02-11 15:18:08,2020-02-11 15:19:17,do not know,do not know
65,2020-02-11 15:18:47,2,en,1456241462,2020-02-11 15:18:10,2020-02-11 15:18:47,do not know,do not know
66,2020-02-11 15:19:15,2,en,213912852,2020-02-11 15:18:11,2020-02-11 15:19:15,y will decrease,do not know
67,,,en,1917958481,2020-02-11 15:18:14,2020-02-11 15:18:14,,
68,,1,en,1838183492,2020-02-11 15:18:16,2020-02-11 15:19:16,do not know,
69,,1,en,1481789207,2020-02-11 15:18:17,2020-02-11 15:19:09,do not know,
70,,,en,565594,2020-02-11 15:18:17,2020-02-11 15:18:17,,
71,,1,en,351006795,2020-02-11 15:18:18,2020-02-11 15:19:20,do not know,
72,2020-02-11 15:18:56,2,en,762391419,2020-02-11 15:18:21,2020-02-11 15:18:56,do not know,do not know
73,2020-02-11 15:19:11,2,en,1037428329,2020-02-11 15:18:32,2020-02-11 15:19:11,y will increase,y will decrease
74,2020-02-11 15:19:19,2,en,1387151586,2020-02-11 15:18:32,2020-02-11 15:19:19,y will decrease,y will increase
75,2020-02-11 15:19:11,2,en,1591373905,2020-02-11 15:18:36,2020-02-11 15:19:10,y will increase,y will increase
76,2020-02-11 15:20:44,2,en,833777743,2020-02-11 15:18:39,2020-02-11 15:20:44,y will decrease,do not know
77,,,en,1102756519,2020-02-11 15:18:39,2020-02-11 15:18:39,,
78,,,en,399078247,2020-02-11 15:18:41,2020-02-11 15:18:41,,
79,2020-02-11 15:23:10,2,en,678426376,2020-02-11 15:18:43,2020-02-11 15:23:10,do not know,do not know
80,,,en,345066512,2020-02-11 15:18:43,2020-02-11 15:18:43,,
81,2020-02-11 15:20:27,2,en,1390895211,2020-02-11 15:18:44,2020-02-11 15:20:27,y will increase,y will decrease
82,2020-02-11 15:19:51,2,en,49388556,2020-02-11 15:18:47,2020-02-11 15:19:51,y will decrease,y will decrease
83,,,en,1595875358,2020-02-11 15:19:03,2020-02-11 15:19:03,,
84,,,en,1456729327,2020-02-11 15:19:10,2020-02-11 15:19:10,,
85,,,en,1746177798,2020-02-11 15:19:14,2020-02-11 15:19:14,,
86,2020-02-11 15:20:26,2,en,1339838866,2020-02-11 15:20:20,2020-02-11 15:20:26,do not know,do not know
87,2020-02-11 15:21:03,2,en,687139179,2020-02-11 15:20:53,2020-02-11 15:21:03,do not know,do not know
88,2020-02-11 15:36:04,2,en,119389792,2020-02-11 15:35:42,2020-02-11 15:36:04,y will increase,y will decrease
89,2020-02-11 15:38:05,2,en,967445245,2020-02-11 15:37:42,2020-02-11 15:38:05,do not know,do not know
90,2020-02-11 15:39:10,2,en,1244615126,2020-02-11 15:38:56,2020-02-11 15:39:10,do not know,do not know
